GeneName,HRP1,HRP2,HRP3,HRZV1,HRZV2,HRZV3
SOCS7,4.0189,3.87,3.81342,4.54512,3.81211,4.29232
ITGA3,288.387,311.786,293.475,415.982,457.219,457.71
SLC25A31,0,0,0,0,0,0.0459952
C9orf116,1.41225,1.73633,1.62098,1.88196,1.51864,1.50374
LINC01018,0.0860312,0,0.0144744,0.0149177,0.0131577,0
ADD3-AS1,0.0476169,0.045354,0.0854706,0.1799,0.0780896,0.046248
CCDC169-SOHLH2,0.132038,0,3.21E-05,0,0.127356,0.256763
HIST2H2BE,3.08822,2.42045,2.83366,6.24977,4.78871,4.49818
STRAP,85.3278,85.9559,89.9927,89.178,80.454,95.3047
SLC29A1,38.7561,44.6376,42.7616,40.5562,47.2619,43.8745
NETO2,8.60253,11.3462,8.83844,9.28539,7.62012,8.53827
SLAMF8,0.181323,0.123439,0.149834,0.227764,0.115065,0.205167
HEATR6,9.92527,9.66277,9.70524,10.594,9.85668,10.5258
PSMB8,35.8445,34.5199,35.8924,91.902,80.718,89.7687
LOC101928009,0.0167753,0,0,0,0,0
TMEM252,0.0314311,0,0,0.201007,0.102403,0.0287987
SGOL1,1.05757,1.22998,1.12305,1.12223,1.48485,1.34026
ANXA5,317.94,325.22,335.863,274.762,295.648,284.032
PPP2R5A,13.532,13.4759,12.7534,16.3004,13.6177,15.8147
ZNF90,0.353064,0.445454,0.349822,0.625266,0.677421,0.77961
CLEC9A,0.0773243,0,0,0,0,0
SLC39A6,39.8569,41.2755,40.0821,52.5567,47.0007,48.1468
IZUMO4,1.2425,1.23217,1.87151,0.892361,0.799374,0.686926
ZMYM5,7.72977,6.21041,6.78789,8.00714,8.90165,8.90652
LRRC32,3.94153,2.95388,4.22325,1.49421,1.65474,1.06285
FAM193A,6.6304,6.34864,6.65331,7.79058,8.0345,7.23976
TRIM39,3.80432,3.84944,3.93065,4.91008,5.60958,5.45848
TMEM40,0.0250484,0,0.0763972,0.0224044,0.0225607,0
C9orf43,0.248788,0.119861,0.19182,0.608356,0.354615,0.515889
ANKRD44,2.27622,1.91836,2.42188,0.923439,1.01094,0.713969
ZNF320,4.03241,3.55097,4.53057,6.28726,5.10676,6.18194
BAHCC1,2.8957,2.39349,2.74817,3.20247,3.29447,3.0528
DPH3P1,0.967338,0.978654,1.13629,1.059,0.708856,0.883273
LY6E,151.759,146.698,154.366,619.418,659.296,632.154
RABGAP1L,18.3655,17.6484,19.4819,11.6125,12.1648,11.5691
UMPS,3.72723,3.49021,3.77847,4.0129,4.06138,3.95129
FAM177A1,21.2651,21.3524,21.7845,23.3007,26.2272,21.7955
FAM114A2,8.11714,8.19268,7.86,9.51179,9.45685,8.42101
F11R,6.81113,6.33792,6.84453,5.2914,5.23314,5.04412
DHRS1,9.61227,8.92636,10.3866,4.56941,4.07195,4.00207
PDCL2,0.0688741,0,0,0,0,0
ACOX2,1.509,1.21425,1.38342,0.657506,0.467343,0.285664
CMTM5,0,0,0,0.0783205,0,0
SCN2B,0.0421489,0.0101476,0.0378224,0.0606075,0.0430803,0
HEYL,0.158609,0.217677,0.188393,0.112991,0.340399,0.136486
KDSR,15.5845,14.926,15.6119,20.1886,18.6007,21.0568
AICDA,0.104955,0,0,0.0387383,0.0171345,0
WNT16,0.243301,0.246168,0.238975,0.279389,0.198467,0.143733
GOLGA6L1,0.120635,7.85E-06,3.59E-06,0.0165544,0.00876309,9.03E-06
PCDHB12,0.12593,0.145881,0.142226,0.0295812,0.0517821,0.0634688
LINC00476,0.713475,0.660758,0.970165,1.10737,0.995838,0.876063
DENND6B,5.79284,4.21713,5.89125,5.60667,5.11427,4.1065
DEGS2,0.0756693,0,0.0345075,0,0.0310765,0.0345689
PEX1,5.62005,5.23058,5.97297,5.42612,4.55058,5.115
GJD3,1.756,1.17285,1.40481,6.62347,5.76334,7.67915
SF3B1,155.391,136.997,143.556,126.753,107.488,114.619
XPOT,91.5802,72.5835,85.911,151.77,139.04,148.033
OSBPL7,4.63722,4.87732,4.83857,4.09232,4.07027,3.88609
FAM225B,0.0463749,0.053883,0.0418,0.0897466,0.0605371,0.0950274
ARRDC1-AS1,3.87354,2.5551,3.11662,3.14862,2.53887,2.6719
HCFC1R1,34.222,29.8001,37.0842,20.6875,29.8537,24.3747
AMER3,0.073091,0,0,0,0,0
RHOXF2B,0.00258675,0,1.90E-05,0.00175757,0,0
LIMS3,6.48386,7.23353,6.49577,5.69136,5.98097,6.11803
HNF1A,0.140261,0.0774908,0.18147,0.146893,0.124478,0.0631896
TFAP2B,0.161562,0.0659256,0.14538,0.0806707,0.125426,0.0485284
SMC5,16.0092,17.9457,17.0857,15.1513,13.1918,13.2764
NUPR1,17.8627,6.45748,18.1187,16.9103,23.5521,16.0008
TRHDE-AS1,2.23069,1.89753,2.19192,1.7129,0.872412,1.08541
FRMPD4,0.039968,0,0,0,0,0.0108618
NGFRAP1,77.2043,85.4933,83.6248,74.2878,72.5821,72.6177
JRKL-AS1,0.0955832,0,0,0,0,0
TSPO2,0,0.0795155,0,0,0.05661,0
TTC14,20.1789,13.5972,18.9887,14.0883,11.1038,11.4392
MICU1,21.7777,20.8867,21.8141,18.7143,17.1299,16.9346
SCX,2.31497,2.76095,2.80103,1.85186,1.34684,1.32118
FDFT1,89.5456,115.754,92.7774,44.7157,44.8417,44.6504
H19,78.7091,33.9339,65.7199,161.259,93.7318,95.1801
CYTH1,21.677,23.1818,22.0163,11.7039,14.056,11.7744
TMEM26-AS1,0,0.0353757,0.133655,0.0738385,0.0922854,0.137255
DPY19L1P1,0.92914,0.941181,0.997785,0.663359,0.886989,1.15865
LOC339622,0.0698569,0,0,0,0,0
HAS2-AS1,0.225578,0.241342,0.244798,0.199306,0.296515,0.213768
RNF32,0.679775,0.457663,0.472304,1.35009,0.896697,1.21846
NGF,0.133958,0.127426,0.120687,0.385259,0.700737,0.623537
DNLZ,5.07924,4.49756,5.18108,7.72593,9.67527,9.24589
USF2,23.3879,23.23,24.9203,22.2393,23.098,22.5177
