Gene Symbol,WM_1,WM_2,WM_3,W3_1,W3_2,W3_3,W12_1,W12_2,W12_3,W24_1,W24_2,W24_3
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
SAMD11,0.075322419,0.034549436,0.043680197,0,0,0,0,0,0,0,0,0
NOC2L,24.96919137,21.76274506,20.66441581,18.07263358,14.24586852,19.2854665,20.27161922,27.61874203,18.07225929,18.37126675,24.71426501,20.48235585
KLHL17,1.3864206,1.271867003,0.482399204,1.40328099,0.61882598,0.451428483,0.477438833,1.057756934,0.763206138,1.024436625,1.590229127,1.013850585
PLEKHN1,1.052253921,0.863699306,0.25693145,1.175134961,0.785209103,0.540981185,1.222323387,1.378505016,0.853634256,0.673233205,1.3888948,1.500850844
PERM1,0.412403441,0.798693351,0.425167523,0.368803686,0.180466104,0.447605052,0.344287349,0.288419485,0.277472091,0,0.347421801,0.551909455
HES4,69.25623527,72.80329403,77.06940951,104.9410526,76.82496945,89.37880173,53.44583772,40.1909199,107.9232414,93.92846531,106.9747438,83.06540544
ISG15,56.35605746,53.45862457,66.13636697,73.5027777,73.54578685,76.38568103,48.62244735,34.53700038,83.24881145,245.9647015,231.6325587,173.2092457
AGRN,33.25922024,30.94598544,23.93474207,18.75960348,16.69142708,20.31499507,24.22358167,30.73518611,21.64455822,29.24217357,45.82933104,25.20704585
RNF223,0.577432274,0.605396211,1.052412564,0.24142698,0.259901553,0,0.387368521,0.23600715,0.999016236,1.415676133,0.673542484,1.454845593
C1orf159,5.013146594,4.826603166,4.634204945,4.176472905,3.938945339,2.95756348,3.554513646,4.416432181,4.440064178,5.46587136,6.556788596,5.636674934
TTLL10,0.159164695,0,0.092301141,0.058229028,0,0.077737748,0,0.091074938,0,0.170721279,0,0
TNFRSF18,0,0,0,0,0,0,0,0.196592233,0,0.163784429,0,0.098526485
TNFRSF4,0.182331898,0,0,0,0,0,0,0,0,0,0,0
SDF4,41.23158629,36.84671271,32.84687721,27.12112204,29.78698634,32.15562756,30.65071314,31.44772968,35.78400593,33.99839881,48.56071097,36.30363049
