GeneName,U1,U2,U3,UZV_1,UZV_2,UZV_3
E2F3,11.5477,11.439,11.6769,12.1802,12.7464,14.0103
ALG1L9P,0.197866,0.203573,0.214484,0.261599,0.264092,0.381067
RHOQ,13.2708,11.6239,14.1661,12.0212,15.0931,13.7351
ESYT3,0.0104508,0.0201106,0,0.0101069,0,0
UCHL1,616.197,561.985,566.548,797.582,801.167,728.274
TAT,0,0,0,0.0608889,0,0.0215689
HECTD2,6.29253,6.50986,6.52546,6.17151,7.29187,8.95388
RHOV,0.279907,0.270823,0.0511213,0.642833,0.3509,0.651361
EFNA4,5.13058,5.52061,5.35912,7.9491,7.5619,9.07751
LOC151484,0,0,0.0192616,0.0203379,0,0.0226623
ABCC6P2,0,0.127024,0.0640055,0.0645307,0,0.272708
PCNX,7.59483,8.17446,8.13244,8.47114,8.3466,9.6157
WASF3,6.09947,6.2286,5.89959,5.45265,4.91826,6.32642
PRPF19,59.6512,51.0886,53.3064,65.6379,68.1507,62.2951
FAM230B,0,0.00506706,0.0101256,0.0647356,0.0444248,0
SLC34A3,0.0948332,0.126376,0.156479,0.105602,0.200753,0.163095
CDH17,0,0.0140476,0,0,0,0
POFUT1,26.9002,26.3283,26.8865,24.4789,22.8337,23.1284
NR5A1,0,0,0,0,0.033242,0
GNAT3,0.0545738,0,0,0,0,0
OTX1,0.655801,0.448352,0.738886,0.549331,0.623789,0.668666
SNX30,3.31637,3.88476,3.57078,2.09794,2.40215,2.49992
INCENP,26.1867,26.3718,25.5343,19.1653,18.9517,20.768
SERPINA7,0,0,0,0.0291983,0,0.0303286
G3BP1,88.0507,88.0151,87.2939,82.6249,84.2051,91.7989
KAT8,7.04298,6.16165,6.91743,7.18712,7.32015,6.96112
NAA20,26.008,23.9396,23.1291,27.6923,28.9641,28.7531
GPRC5A,3.49656,3.38285,3.70021,4.92764,4.51058,4.40688
LYSMD3,17.2105,17.347,17.2575,18.3183,20.7137,22.9304
EP300-AS1,0.886493,0.552786,0.753406,0.92634,0.775191,0.528856
ARHGEF38,0.0212407,0.121037,0,0.037169,0.0183657,0.0458027
ABCF2,31.6985,25.8206,29.1541,30.584,30.5192,27.9798
LOC101927550,1.51797,1.43707,1.38834,1.55013,1.12881,1.74988
LOC100506124,1.37489,0.973915,1.16425,0.790487,1.30193,0.74145
HAVCR2,0.106135,0.0651067,0.145104,0.179859,0.179876,0.14715
TTYH2,0.208746,0.164209,0.161393,0.1529,0.178797,0.270214
LGALS7B,0,0.0602037,0,0,0.250007,0
EXO5,1.86387,1.55888,1.75482,2.20782,2.11933,1.98426
